Test & MatrixDimension & CrossoverPoint(n0) & Time(ms) & Algorithm
1 & 1024 & 256 & 1047 & Mix
2 & 1024 & 200 & 826 & Mix
3 & 1024 & 180 & 1435 & Mix
4 & 1024 & 170 & 786 & Mix
5 & 1024 & 160 & 903 & Mix
6 & 1024 & 150 & 881 & Mix
7 & 1024 & 140 & 769 & Mix
8 & 1024 & 130 & 748 & Mix
9 & 1024 & 120 & 931 & Mix
10 & 1024 & 100 & 747 & Mix
11 & 1024 & 50 & 1030 & Mix
12 & 2056 & 1024 & 45319 & Mix
13 & 2056 & 512 & 36222 & Mix
14 & 2056 & 256 & 39751 & Mix
