Test & MatrixDimension & CrossoverPoint(n0) & Time(ms) & Algorithm
1 & 17 & 1 & 27 & Strassens
2 & 17 & 17 & 2 & Conventional
3 & 129 & 1 & 4158 & Strassens
4 & 129 & 129 & 29 & Conventional
5 & 257 & 1 & 26728 & Strassens
6 & 257 & 257 & 138 & Conventional
7 & 513 & 1 & 183882 & Strassens
8 & 513 & 513 & 934 & Conventional
